user_id,subgroup
5f1dc5a3afdc0537b5de8979,50 61 29 66 1 51 7 72 36 83 37 71 59 40 85 69 70 55 23 3 6 75 33 76 64 35 57 32 84 8 60 13 81 79 63 52 15
5f432175a32a53813a24e1a5,50 61 29 66 1 51 7 72 36 23 3 6 71 59 40 5 30 79 60 83 37 8 85 25 77 62 78 69 70 24 65 73 13 55 64 35 57 38 34 39 15 33 32
5a93a2b844a1e4001eee7a26,75 76 50 61 29 66 1 51 7 72 36 33 64 73 83 37 71 59 40 57 19 69 68 63 23 3 6 85 81 52 55 32 58 54 79 15 13 34 60 53 87 62 65
617ec17d1a87ca000710ce8f,71 59 5 4 36 50 61 29 66 1 51 7 72 23 3 6 25 40 55 79 24 83 85 37 77 60 16 53 8 14 13 20 9
614c3233e64756000603277d,75 33 76 64 71 59 32 50 61 29 66 1 51 7 72 36 8 63 83 37 69 70 40 23 3 6 58 57 52 80 85 41 68 60 28 79 42 43 81
617ec606b2319400078213a6,71 59 49 8 51 40 69 70 50 61 29 66 1 7 72 36 85 23 3 6 30 60 4 79 28 32 33 89 83 37 21 24 35 57 34 13 55 88 75 76 64 5
617e4e997340280006cc7c42,13 71 59 8 40 4 5 55 50 66 51 72 61 29 1 7 36 69 70 23 3 6 35 57 2 15 83 85 37 14 45 16
5e7609ff9c4b140023a682de,40 51 71 59 50 61 29 66 1 7 72 36 23 3 6 5 60 83 37 19 90 85 8 55 64 91 53 69 70 79 78 38 34 39 35 57
617ec3341a87ca000710d12f,71 59 50 61 29 66 1 51 7 72 36 40 23 3 6 83 37 32 33 8 85 35 57 55 54 81 38 34 39 78 69 70 60 53 52 79 13
5f76c59b49fac44216498699,40 71 59 23 3 6 7 51 50 61 29 66 1 72 36 69 70 8 60 64 85 45 24 53 55 5 79 19 83 37 4 73 30 35 57 56 26 49
617ed3125833170007feaf2d,71 59 69 70 40 15 50 61 29 66 1 51 7 72 36 8 23 3 6 19 85 53 60 4 5 83 37 45 79 28 47 13 56 73 55 35 57 14 27 16 24
617ed802b231940007823531,69 70 8 71 59 51 55 63 64 40 50 61 29 66 1 7 72 36 23 3 6 28 79 75 76 13 85 33 83 37 60 35 24 4 57 32 5
617ed902b231940007823606,71 59 40 51 50 61 29 66 1 7 72 36 8 69 70 15 23 3 6 35 57 85 83 37 14 79 75 33 76 64 73 53 60 28
61287daf560d810006958251,71 59 19 50 61 29 66 1 51 7 72 36 23 3 6 40 73 83 37 78 5 15 85 49 60 90 79 13 22 55 53 38 34 39 33 62 77 69 56 65
617eeb2380117b00079916e8,13 71 59 61 9 40 8 50 66 51 72 4 5 29 1 7 36 23 3 6 69 70 55 85 24 35 57 83 37 15 79 60 46 53 89 14
617d9b65b23194000780bfac,5 71 59 4 36 23 3 6 50 61 29 66 1 51 7 72 40 60 32 33 34 49 69 70 85 79 8 28 88 14 15 35 57 83 37 22 30 25 24 38 39
6173a7c5231858000643b26f,71 59 32 33 58 23 3 6 51 50 61 29 66 1 7 72 36 40 42 43 41 85 44 60 34 75 76 64 83 37 79 52 38 39 8 80 57 69 70 68 63 25 77 55 13
61796267b2319400077af493,69 70 8 71 59 40 50 61 29 66 1 51 7 72 36 23 3 6 55 83 37 35 57 85 28 60 32 33 34 4 5 75 76 64 13 88 79 14 15
5eee74c1eb246da0e50471ab,50 66 51 72 40 71 59 9 46 1 23 3 6 61 29 7 36 4 73 13 5 79 53 85 8 83 37 35 57 60 19 32 33 34 15
617f173e57d2ce0006c70668,23 3 6 5 71 59 40 50 61 29 66 1 51 7 72 36 25 77 22 67 38 34 39 78 83 37 60 33 85 53 32 79 4 24
5e7a0ed69c4b140023a848eb,71 59 50 61 29 66 1 51 7 72 36 40 25 77 23 3 6 79 60 68 57 75 33 76 64 69 70 32 30 63 85 5 42 43 58 41 4 15 8 83 37 74 34 19 35 53 89
