user_id,subgroup
5c6e7a8d6d180f002084a746,23 3 6 40 50 66 51 72 7 71 59 61 29 1 36 25 5 77 78 38 34 39 19 32 33 60 79 53 85 65 83 37
5e11926d54511e0d1440d024,23 3 6 40 71 59 5 4 7 36 25 77 51 27 50 61 29 66 1 72 79 60 85 9 69 70 73 38 34 39 8 37 78
59a1bbeb3ba5a507005d94bf,71 59 50 61 29 66 1 51 7 72 36 83 37 23 3 6 40 58 19 5 8 85 60 38 34 39 79 69 70 80 73 32 33 4 56 65 87 15 62 25 77 41
5a11254d516eb50051f99473,50 61 29 66 1 51 7 72 36 71 59 83 37 23 3 6 40 5 85 78 91 60 19 8 38 34 39 79 54 73 35 57 65 55 56 64 77
56702e0f13ef621200899d90,19 23 3 6 40 71 59 5 7 4 36 50 61 29 66 1 51 72 60 25 30 77 73 53 10 11 79 85 78 38 34 39 22 67
5aa795b871c70c001e28f2a9,51 50 61 29 66 1 7 72 36 71 59 40 83 37 23 3 6 38 34 39 85 65 52 57 62 5 60 78 33 79 58 25 19 32 8 56
5dc9632b31ab600020684cb3,75 76 33 64 63 71 59 50 61 29 66 1 51 7 72 36 83 37 23 3 6 57 40 68 69 80 52 70 32 81 41 35 85 60 79 58 8 34 84 54 55
603a408fedddaa46e5e847c0,25 77 71 59 23 3 6 5 4 36 7 50 61 29 66 1 51 72 40 89 32 33 85 22 34 8 38 39 79 60 69 70 63 64 74 53 83 37 52 13
5b41c29cbc0cfe001ecd42a8,23 3 6 40 71 59 5 50 61 29 66 1 51 7 72 36 38 34 39 19 25 77 83 37 60 79 78 73 85 53 69 70 4 35 57 64
6118d79bc367dc00060594ef,83 37 50 61 29 66 1 51 7 72 36 71 59 23 3 6 65 85 40 56 41 39 77 78 53 79 19 69 64 60 54
5d9189c2a7e8fe0020d81039,23 3 6 40 7 71 59 51 50 61 29 66 1 72 36 5 38 34 39 25 60 85 19 78 32 33 69 70 83 37 4 77 8 79 28 64 73 53 54 67
5b4d802ece476c001e4a92bf,71 59 40 73 23 3 6 15 7 51 50 61 29 66 1 72 36 19 5 8 53 60 85 83 37 4 69 70 79 28 55 56 14
568cdb6fe8ff9b20003d00ed,23 3 6 5 40 71 59 7 50 61 29 66 1 51 72 36 73 4 25 77 83 37 19 60 69 70 8 38 34 39 79 78 85 22 67 24
57870425d0c3030700414d39,71 59 23 3 6 4 36 7 25 77 5 40 50 61 29 66 1 51 72 32 33 60 83 37 28 38 34 39 79 69 57 85 75 76 64 70 41 74 55 24
58123bc6e6fe960700e102b6,40 71 59 50 61 29 66 1 51 7 72 36 5 23 3 6 28 4 69 70 64 85 60 8 79 32 33 34 75 76 53 45 19 41 83 37 42 43 58 55 74 57 35 88 24
57317210fad4ef0a006aef34,71 59 50 61 29 66 1 51 7 72 36 83 37 23 3 6 40 35 57 85 8 78 54 60 79 38 34 39 81 58 65 19 56
571c171c234ded0a00a42d25,23 3 6 71 59 50 61 29 66 1 51 7 72 36 40 38 34 39 83 37 5 78 33 60 85 35 57 79 77 32 67 65 54 8 55 25 22 69
5a220d1ca6d4a5001ec316a4,23 3 6 71 59 7 25 77 50 61 29 66 1 51 72 36 40 38 34 39 19 83 37 78 85 60 5 32 33 8 54 76 65 4 15 75 64 53 79
5741ce66fad4ef0a006bd851,50 61 29 66 1 51 7 72 36 71 59 62 85 83 37 8 60 79 23 3 6 35 40 30 54 56 65 5 38 34 39 47 28 75 57 76 64 55
60348943e950ee4623b5bf87,71 59 50 61 29 66 1 51 7 72 36 40 8 83 85 37 23 3 6 69 70 55 79 13 60 53 56 65 75 33 76 64 35 57 24
5ef2d87e0be54018a7bcdab0,71 59 83 37 51 50 61 29 66 1 7 72 36 23 3 6 38 34 39 40 14 15 85 58 35 57 33 8 69 70 2 5 32 4 60 79 19 54 75 76 64
5ef142e0b93e46e8668cc638,71 59 13 23 3 6 40 5 50 61 29 66 1 51 7 72 36 8 69 70 4 79 55 85 35 57 60 19 30 25 77 83 37
603231d4bf9554f2a0f3fc8a,38 34 39 7 23 3 6 71 59 50 61 29 66 1 51 72 36 33 40 32 8 83 37 60 79 85 5 52 54 35 57 81 62 65 58
5a7c4db81a0d09001ee03a35,38 34 39 23 3 6 71 59 33 7 50 61 29 66 1 51 72 36 40 32 83 37 79 5 75 76 64 60 85 77 78 80 58 54 67 25 22 55 41 4 52 57
5bbe0a3c3617e7001e562a28,83 37 51 71 59 50 61 29 66 1 7 72 36 8 85 40 33 57 32 23 3 6 79 58 69 70 60 35 81 75 76 64 52
60cf0704ad1a3c42aab8f51d,40 23 3 6 50 61 29 66 1 51 7 72 36 71 59 19 5 53 32 33 34 38 39 83 37 60 73 25 85 79 41 65 90 78 77
5eaf743f3e47cffda3221a7d,71 59 50 61 29 66 1 51 7 72 36 8 69 70 40 32 33 57 81 23 3 6 83 37 85 47 48 79 75 76 64 52 60 55 34 35 5 80 68 54
